target,target_histogram,seed,iterations_requested,iterations_used,hit,best_distance,best_histogram,best_spins
A,"{""2"":30,""6"":2}",20260932,300000,300000,0,16,"{""-4"":2,""0"":4,""2"":23,""4"":2,""6"":1}",1111111110111111000101010011000110101100010000011100001010001011
A,"{""2"":30,""6"":2}",20260933,300000,300000,0,16,"{""0"":6,""2"":22,""4"":2,""6"":2}",0100001000001111110010111111000100001010000100110111000100000000
A,"{""2"":30,""6"":2}",20260934,300000,300000,0,16,"{""-4"":1,""0"":6,""2"":22,""4"":1,""6"":2}",0001001000110001010100011011111100110001010000101100101111100100
A,"{""2"":30,""6"":2}",20260935,300000,300000,0,16,"{""-4"":1,""0"":6,""2"":22,""4"":1,""6"":2}",1100101011100000001100110000111100010011011000001011111011110110
A,"{""2"":30,""6"":2}",20260936,300000,300000,0,16,"{""-4"":2,""0"":4,""2"":23,""4"":2,""6"":1}",1101101110010010101111000011010001000011101001000000101011110001
A,"{""2"":30,""6"":2}",20260937,300000,300000,0,16,"{""-4"":2,""0"":4,""2"":23,""4"":2,""6"":1}",1111000100000000110001101011111110011100101100001111100100010000
A,"{""2"":30,""6"":2}",20260938,300000,300000,0,16,"{""-4"":2,""0"":4,""2"":23,""4"":2,""6"":1}",1111000100010000011101001100111011001100101011001110000010111010
A,"{""2"":30,""6"":2}",20260939,300000,300000,0,16,"{""-4"":2,""0"":6,""2"":22,""6"":2}",1000101010011101111000110000101111101110001111110100001111101011
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261000,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",1111110100110100101111001011000011000100101111111011110011111000
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261001,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",1011110011111100000000000100101111010011011010101011111000110100
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261002,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",1000111111100000101010100001001111100100101111100000110001100000
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261003,300000,300000,0,8,"{""0"":4,""2"":23,""4"":4,""6"":1}",0011000101010001111010001100001100011110010100111011111011001111
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261004,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",1110000010111001000000000011110101000001000111101011110000010100
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261005,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",0011001111001011010110110011001100101110010011111111101111011011
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261006,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",0000111011001110111001001100111101111111010000000101001110111110
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261007,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",0100000001100000011111001111010010001111110011101110111010011111
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261008,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",0111000100011111001011100100001100110000111010010101000100111011
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261009,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",1110101000000011010000111000111011001010000001001110000011001011
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261010,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",1110110011101100101100011111001011001111111011100000011011111001
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261011,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",0111111110111111000111110011010010001100111000011110000100011111
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261012,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",0011111100000100010011100011001100110110100111111101100100011011
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261013,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",1011010000011111000101111110110001000001000110111110000010001100
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261014,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",0010010000000111110011001100000101101011001100000100001110101100
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261015,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",0011101101010011001100010100001101010011011111000011001101001010
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261016,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",1000110110100100111000000001001111001101001100011110010010111111
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261017,300000,300000,0,8,"{""-4"":1,""0"":2,""2"":24,""4"":5}",1100111011100000101111110011010000001111010001100010000000000001
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261018,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",1100100100000000111100000001001110101101110001000100001101000010
B,"{""0"":1,""2"":27,""4"":3,""6"":1}",20261019,300000,300000,0,8,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",0100101100000110011000001001000100110101111100001111110000110100
