global_index_zero_based,source_file,line_number_one_based,solution_sha256,direction_counts_bits_0_to_6,dimension_profile_sorted,squares_with_1_edge,squares_with_3_edges
13126,q7_edges_304.jsonl.part2,6505,50d47f86ede0a7bce3ac28b9504fcfa9dcf9cc9c3361580fa854777028df659e,48;48;40;40;48;40;40,48;48;48;40;40;40;40,96,576
13155,q7_edges_304.jsonl.part2,6534,903855aa3d6525753b441d7dfbc3cc51c7b0e22493e3fe27f876d4d19f23685a,44;44;40;44;44;44;44,44;44;44;44;44;44;40,96,576
13205,q7_edges_304.jsonl.part2,6584,87653e636d1482ae4952fce9bfa31b0f1aeaf1ce51de34631a282f5fd5079317,44;44;42;44;44;44;42,44;44;44;44;44;42;42,96,576
13220,q7_edges_304.jsonl.part2,6599,fb80ec2a3e0934f41ea8a080aae4e2379bbddfc451884673c27ad5869cad978e,44;42;44;44;42;44;44,44;44;44;44;44;42;42,96,576
13241,q7_edges_304.jsonl.part2,6620,6422847a7c1d0cf09c2c4e4940ab5ebae868da6025d84d2cb6ca4ff8236d652a,40;46;42;46;46;42;42,46;46;46;42;42;42;40,96,576
13310,q7_edges_304.jsonl.part3,67,f98c0e885586f550f75efa377ee2ab0e34e7ede7d08a13fa303b7254b0138931,48;40;40;48;48;40;40,48;48;48;40;40;40;40,96,576
13312,q7_edges_304.jsonl.part3,69,5646d8c8a0c58fcc95d9f7258864dbb981323556dd05d112cd2b97d1c3953014,48;40;40;40;40;48;48,48;48;48;40;40;40;40,96,576
13411,q7_edges_304.jsonl.part3,168,dfeecfe4127e7499cbe66bfd980f55f4f736b198b5983a7057c68677dbfb856d,44;44;44;44;44;44;40,44;44;44;44;44;44;40,96,576
13465,q7_edges_304.jsonl.part3,222,52fd526f01f61c577328092da618a0b2e21e8cca9c303a3dd0fa7ddfd85f9df2,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
13466,q7_edges_304.jsonl.part3,223,17ac95af478607766908e95008282ae55c013cb5a5b177509efd97de34039e7a,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
13484,q7_edges_304.jsonl.part3,241,36466c360f09e902774c19fa7e91165ef93023a208ba5d2097e84fc7df224bba,44;44;42;44;42;44;44,44;44;44;44;44;42;42,96,576
13517,q7_edges_304.jsonl.part3,274,480d85c0c7ede78ab4eaa1944e5e56b77b774b4a1ff98489ea7aacafdaa3b24b,46;40;46;46;42;42;42,46;46;46;42;42;42;40,96,576
13556,q7_edges_304.jsonl.part3,313,7924a56122008352898060bf3aefd572f6e60f4cb13da4d30fc48a1932adbef2,44;42;44;44;44;44;42,44;44;44;44;44;42;42,96,576
13558,q7_edges_304.jsonl.part3,315,1a9f307f699c4952dfd4f69b4f19f1a53dfdfe29bb86adbf970eeeeadf779742,48;40;40;48;48;40;40,48;48;48;40;40;40;40,96,576
13579,q7_edges_304.jsonl.part3,336,da2f370abbcaf26c4a549eefce4b24c789a5962657daa5165e7766e21a9f7d56,44;40;44;44;44;44;44,44;44;44;44;44;44;40,96,576
13611,q7_edges_304.jsonl.part3,368,787059df4e1e891721d3dd4035b3d1e30503a0bfd1962f0334b222dc49368af9,40;40;48;40;48;48;40,48;48;48;40;40;40;40,96,576
13624,q7_edges_304.jsonl.part3,381,0df1f066d23525577f7c1e63ed40e258dc61824d707504e2cda378b464a1c814,44;44;40;44;44;44;44,44;44;44;44;44;44;40,96,576
13651,q7_edges_304.jsonl.part3,408,07ee4faed52595709ebac07e9ebe3e39cba01f715458e29b558a8929b1ba349c,44;44;44;42;44;44;42,44;44;44;44;44;42;42,96,576
13670,q7_edges_304.jsonl.part3,427,9a954f6fcb7835276f9d85d7b96a1cf39ea706005b05e67d278637e574f01642,44;44;44;40;44;44;44,44;44;44;44;44;44;40,96,576
13678,q7_edges_304.jsonl.part3,435,08445c573ac0c291024b217019f344cd2c47b768d0ab25eec1bc2135c30c6f1f,44;44;42;44;44;42;44,44;44;44;44;44;42;42,96,576
13687,q7_edges_304.jsonl.part3,444,c68ef6243405a5979651aeac0d9d1696d5f2b818a3d5c3b19797229cb4b79e9b,42;42;46;46;42;46;40,46;46;46;42;42;42;40,96,576
13791,q7_edges_304.jsonl.part3,548,0ce28139607705032b3a074277bd2ca3d2653f68a3823a87b1c6fd254afb159a,48;40;40;48;40;40;48,48;48;48;40;40;40;40,96,576
13811,q7_edges_304.jsonl.part3,568,902ca88fdec4279fb71c5cc56c33ee843bfa4a50711920b580cfb20afb6fd390,46;42;46;42;40;42;46,46;46;46;42;42;42;40,96,576
13887,q7_edges_304.jsonl.part3,644,833b74ee4c92a75ad5cf6f9aa110af1d33dc7e5c272c3ac09e0a14f6bdd7966c,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
14072,q7_edges_304.jsonl.part3,829,6f43558b15272b957059cc592a375b100d7cf47f1e8f2e2184cf259c64026167,42;42;40;46;46;46;42,46;46;46;42;42;42;40,96,576
14119,q7_edges_304.jsonl.part3,876,c153c2e249028c81d9f16ad509b0fc78b020f815bd29cd443cb8c760220d0fb2,44;44;44;44;44;44;40,44;44;44;44;44;44;40,96,576
14277,q7_edges_304.jsonl.part3,1034,2cd654e93285530ab20d90a0930056022603e41ef3bfb99ceb8620136bc338b5,42;44;42;44;44;44;44,44;44;44;44;44;42;42,96,576
14287,q7_edges_304.jsonl.part3,1044,38e1550dec55a96bddc818e74f48eded5608b5737a7c3c55275d452d91f64f66,44;42;44;44;42;44;44,44;44;44;44;44;42;42,96,576
14454,q7_edges_304.jsonl.part3,1211,9c5f8e3c186524cd8169696250672b231f9048baf949a6157b79d6de64a1d59b,44;44;40;44;44;44;44,44;44;44;44;44;44;40,96,576
14471,q7_edges_304.jsonl.part3,1228,7d5cd3339e9b890533bb3e76fc4e9044e15ad8cf9d086fc6860416431af641c5,42;44;44;42;44;44;44,44;44;44;44;44;42;42,96,576
14504,q7_edges_304.jsonl.part3,1261,ed2bd070c62685fbb97bea1ddfe69939870581954fe685e3897c947d9fd5fafa,44;44;44;42;42;44;44,44;44;44;44;44;42;42,96,576
14556,q7_edges_304.jsonl.part3,1313,85a5756aa9eb37b873fc606dc63d21fccd6f98f10ef784af03197455819e7563,40;48;40;48;40;40;48,48;48;48;40;40;40;40,96,576
14600,q7_edges_304.jsonl.part3,1357,565600687dc40502daa1df2073c7a03e032051befe349d8a7c94dd43e8b4788c,44;44;44;44;44;44;40,44;44;44;44;44;44;40,96,576
14659,q7_edges_304.jsonl.part3,1416,60ba09337a1f23754418fe719e73f9ba9d22594409703c48b56f2670b227e723,44;44;44;44;42;42;44,44;44;44;44;44;42;42,96,576
14742,q7_edges_304.jsonl.part3,1499,08d38e2746334c3e1ee63fe4df284b5996dac679685528f204f7b2811c91b2d6,44;44;40;44;44;44;44,44;44;44;44;44;44;40,96,576
14778,q7_edges_304.jsonl.part3,1535,dfb276fc52a3f652d5afd6b209772bd7d0b1b6106fce1b36bdafc029afd96984,44;40;44;44;44;44;44,44;44;44;44;44;44;40,96,576
14830,q7_edges_304.jsonl.part3,1587,83cad10e9b40dbc0bf13f771671afb0932c989c38015a5eaf69a0b1e289a78d0,40;40;48;40;48;48;40,48;48;48;40;40;40;40,96,576
15002,q7_edges_304.jsonl.part3,1759,28cfd0a59f014707529d7f147cc07ed1f09924c46723561b5eab378fcd5bff1b,48;48;40;40;48;40;40,48;48;48;40;40;40;40,96,576
15015,q7_edges_304.jsonl.part3,1772,988ccc22a139130f84afccd6bf5d69d4dbfbcb9647fa88087577e1692482a8b8,40;48;40;40;40;48;48,48;48;48;40;40;40;40,96,576
15077,q7_edges_304.jsonl.part3,1834,85988bf3f0e2e822957473a058d862ac60b39383bcb3d9c5f00fc774614770a2,46;42;46;46;42;40;42,46;46;46;42;42;42;40,96,576
15194,q7_edges_304.jsonl.part3,1951,b9aeb9df4b483dc88fa3b5e0ca0d882cd289c8e80fa77c86708bb62d41acb71f,40;40;40;48;48;48;40,48;48;48;40;40;40;40,96,576
15445,q7_edges_304.jsonl.part3,2202,9f37b9f11569f4e52db1bd7339b763694f76ef82b0cae18fc45341f83e7e11e4,40;40;40;48;40;48;48,48;48;48;40;40;40;40,96,576
15468,q7_edges_304.jsonl.part3,2225,6c146d2b91b20a2de5ea5423ab922ca598d11847f7e45fda74baef65533f3a33,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
15615,q7_edges_304.jsonl.part3,2372,869c4d7c09f65b11e444f6b1f5763280ffe7ecde71d63c92010ad29ff125d7c0,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
15639,q7_edges_304.jsonl.part3,2396,75110bca50ef2cf299359662afbc8a31466bf5776b440e050f7f87f91fa66ce9,40;48;40;48;40;40;48,48;48;48;40;40;40;40,96,576
15645,q7_edges_304.jsonl.part3,2402,99981f21c29e0e69368b992cbe4f63cf29578933bb6f793aff4ae65d0de65f4d,48;40;48;48;40;40;40,48;48;48;40;40;40;40,96,576
15666,q7_edges_304.jsonl.part3,2423,85eb23cf0e1a042c63c83760da687f909f5668b5020375b8980a42277a2c3fcb,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
15668,q7_edges_304.jsonl.part3,2425,d8143aada9c120e6969b134a0d124bff18a698148dda0829e991ca435c905d66,40;48;40;40;40;48;48,48;48;48;40;40;40;40,96,576
15749,q7_edges_304.jsonl.part3,2506,480280b01a381df6fb72015dcae60fc4ecf693aa403830dc50fe71a464a4a9c0,40;40;40;48;48;40;48,48;48;48;40;40;40;40,96,576
15800,q7_edges_304.jsonl.part3,2557,23b3800b5d364fd577ebda9fa2d3300adf0d2afa4a93d15ad85a57b54a7459ac,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
15833,q7_edges_304.jsonl.part3,2590,084b5e1766cbfb307d1eecfc32508c81ac674a97d04d5834008a09275f1ebe00,48;48;40;40;48;40;40,48;48;48;40;40;40;40,96,576
15841,q7_edges_304.jsonl.part3,2598,16224e16bde598efa6152eb36688dada1d320aa63ee6eb8b74d8fd051832ebb9,42;42;46;42;46;46;40,46;46;46;42;42;42;40,96,576
15846,q7_edges_304.jsonl.part3,2603,adb9e87c782fced954f356ccdf1a34403e6aee0b825b0b5617fa821d21c9b48c,44;40;44;44;44;44;44,44;44;44;44;44;44;40,96,576
15873,q7_edges_304.jsonl.part3,2630,8e3b58bed9cde89dde201ab66ee7839f8f42f603d1ff8a688e5600c22ae93e20,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
15921,q7_edges_304.jsonl.part3,2678,c0c67f5c2785ff94633de7e6b7c6b15f0b229cc4c7f4b3352b3409df10643dc2,46;46;40;46;42;42;42,46;46;46;42;42;42;40,96,576
15954,q7_edges_304.jsonl.part3,2711,833bbbd717e8324d7a206d751648097915bdb10e4fbe41558c0d50d020223850,40;40;48;48;40;48;40,48;48;48;40;40;40;40,96,576
15971,q7_edges_304.jsonl.part3,2728,ddd131f0131bef0760fdcb472cfc6d12c82bc3d26a7521fffd45c39d35cbe523,44;44;44;42;44;44;42,44;44;44;44;44;42;42,96,576
15990,q7_edges_304.jsonl.part3,2747,653bd1b720d7991bf01633c35d17b000a3854c36c38cba94af44a50458ac2810,44;42;44;44;42;44;44,44;44;44;44;44;42;42,96,576
16014,q7_edges_304.jsonl.part3,2771,11c16587db784c5664041953c5d582048c2d5c772845d59f771c1edbc15d5e39,40;48;40;48;48;40;40,48;48;48;40;40;40;40,96,576
16071,q7_edges_304.jsonl.part3,2828,6396d176b0cb412378f97e2c97e879504263951a77c448f2425a4237970261b7,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
16138,q7_edges_304.jsonl.part3,2895,7619486f700998bb815c28d5ab8b3be264b9d3bee3fc7d50550f4c763bdefacc,44;40;44;44;44;44;44,44;44;44;44;44;44;40,96,576
16190,q7_edges_304.jsonl.part3,2947,e949c2c6201f8c59bdc2df20c5de1d246fc3e31580035e53276174dbefb71918,44;44;44;40;44;44;44,44;44;44;44;44;44;40,96,576
16209,q7_edges_304.jsonl.part3,2966,f6d4884c9338da467ff0b57cdb60d7fc2edfb57d6ef3107865963a6e211415f0,44;44;42;44;44;42;44,44;44;44;44;44;42;42,96,576
16290,q7_edges_304.jsonl.part3,3047,a0223a4484114dc615d788a4fb43ac8f5f51f07640e332681e306070953b803d,44;44;44;44;44;44;40,44;44;44;44;44;44;40,96,576
16291,q7_edges_304.jsonl.part3,3048,2fa92f0cc2cccd2022c15fe0cd9bc1c72b809f54f4d6b762cec058d1c42edd23,48;48;40;40;40;40;48,48;48;48;40;40;40;40,96,576
16371,q7_edges_304.jsonl.part3,3128,208fa5235ec231e1c146fd99c5f54bbb73849e8be81da047d00e90836b6a83a2,40;46;46;42;42;42;46,46;46;46;42;42;42;40,96,576
16411,q7_edges_304.jsonl.part3,3168,eb341d6aa2e5725c2f4fd252948c446c96f102a64a70abb9e98a412745ed38f2,40;44;44;44;44;44;44,44;44;44;44;44;44;40,96,576
16451,q7_edges_304.jsonl.part3,3208,81b4b3b6d9220ffc48cdb21e70632baa54ca1e32fd242a14f9426d03e347d4f0,40;44;44;44;44;44;44,44;44;44;44;44;44;40,96,576
16515,q7_edges_304.jsonl.part3,3272,729ec55d091cbf1ec3c070118e351a8b46a1d6aff7bc81c03e6cce997f5f3208,44;40;44;44;44;44;44,44;44;44;44;44;44;40,96,576
16556,q7_edges_304.jsonl.part3,3313,c2f8eace2c3bd9d521c559c16a64b2142dce35ca62f51ddbde58bbce4c156649,44;44;42;44;44;44;42,44;44;44;44;44;42;42,96,576
16705,q7_edges_304.jsonl.part3,3462,a0a918ca6ee4fd6ffd947f700306f9f9e644bec954cde4e452ff819af1fd8cef,40;40;48;48;40;40;48,48;48;48;40;40;40;40,96,576
16729,q7_edges_304.jsonl.part3,3486,2a4af878ca58b4070a5bcc65fe7c1af19ccb084ed548fdf211e45d52593ee56a,40;42;42;42;46;46;46,46;46;46;42;42;42;40,96,576
16807,q7_edges_304.jsonl.part3,3564,07b207f9e499b7cb32029a881f7675852886be691f9deba66fe6efecdf7bfba7,40;40;48;40;48;40;48,48;48;48;40;40;40;40,96,576
16834,q7_edges_304.jsonl.part3,3591,90a86a4bcc1de455061a9fefb010f471bb180edb9781d5cc95abb3975faa708e,48;40;48;40;40;40;48,48;48;48;40;40;40;40,96,576
16836,q7_edges_304.jsonl.part3,3593,9e45c2b2c593e1236a6232c38a73c8caee16eb29462ad1d55973ee68d651f826,48;40;40;48;40;48;40,48;48;48;40;40;40;40,96,576
16841,q7_edges_304.jsonl.part3,3598,4d0e912ecd25511bc142b65e6d554345aa3664148e14029b6e4d3c0cef9ade47,40;40;48;48;40;40;48,48;48;48;40;40;40;40,96,576
16891,q7_edges_304.jsonl.part3,3648,fc9d50ba9e8db773a5096ced6ec7e933a39aa33c9c475e924542236409771d9c,44;42;44;44;44;42;44,44;44;44;44;44;42;42,96,576
16897,q7_edges_304.jsonl.part3,3654,ef6e0755b58207f85f86591a0e64e5aad64737952c53a34c80ca16dc4c08a068,44;44;42;42;44;44;44,44;44;44;44;44;42;42,96,576
16911,q7_edges_304.jsonl.part3,3668,910708149d4bf275ec6b58f71bce19d2da25c19f35f73d7857deb87ea37f53fd,42;44;44;44;44;44;42,44;44;44;44;44;42;42,96,576
16954,q7_edges_304.jsonl.part3,3711,d6d66ee505b3c0d72e3642beb4fbfe9060ffcda10011f8366dbb023e436273b3,44;44;44;40;44;44;44,44;44;44;44;44;44;40,96,576
16967,q7_edges_304.jsonl.part3,3724,2d27fa380d111bd0e8d8537c7c4b85218b03a62d0323555f31d5616b417ebcb4,44;44;40;44;44;44;44,44;44;44;44;44;44;40,96,576
16988,q7_edges_304.jsonl.part3,3745,7be6a29e79d1dd6ed82caffb8e6df674260b937e6236728812b7f2ea2ae8db86,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
16994,q7_edges_304.jsonl.part3,3751,c1c3e00d803b779521a92918912b3672d1092f446019186c3ee6b52b0e20c06e,42;46;40;42;46;42;46,46;46;46;42;42;42;40,96,576
17002,q7_edges_304.jsonl.part3,3759,5a63d3199459451ba2f762521db299e068aa8a65b71df55a5ef71c28bb778ee5,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
17005,q7_edges_304.jsonl.part3,3762,61e1cb1ad647bd69e9be0b38508416e0a7de115be2f506746fa60365c28a58c6,44;40;44;44;44;44;44,44;44;44;44;44;44;40,96,576
17054,q7_edges_304.jsonl.part3,3811,9d7df87818e4e95cf56f3bbfe9e9618e69f60b8011ee11554f954107e8315d71,42;46;42;40;42;46;46,46;46;46;42;42;42;40,96,576
17091,q7_edges_304.jsonl.part3,3848,8cb583ea52e331ba8d0e81b9272210cb37882ee5be61075c332f60608e3bd298,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
17115,q7_edges_304.jsonl.part3,3872,b37c4f469f24f78ae991634259fea35a1a45cad05e20b3672937c1bc6ef56112,46;46;42;42;42;40;46,46;46;46;42;42;42;40,96,576
17140,q7_edges_304.jsonl.part3,3897,fd385e3f97835f4bdcefcf15e8a5341ca2413deb5f68b256b4926967523639db,48;40;40;40;40;48;48,48;48;48;40;40;40;40,96,576
17241,q7_edges_304.jsonl.part3,3998,0a26f232e4e03f0f75918aab6370fc236342b3395537640d770dfcd060a5db9b,44;44;44;44;42;42;44,44;44;44;44;44;42;42,96,576
17264,q7_edges_304.jsonl.part3,4021,e68554957168fd2548834c38d7514840860b2efa3995a5cbf1dd9e9ace92c5da,46;40;46;42;42;42;46,46;46;46;42;42;42;40,96,576
17281,q7_edges_304.jsonl.part3,4038,17fe040f37513142d6a5ddefe336d1ede81d329f504dabc7c72785cc3e9ee5be,44;44;44;44;42;42;44,44;44;44;44;44;42;42,96,576
17371,q7_edges_304.jsonl.part3,4128,fa4030de5df6313145de84240e56fdef5d2cb5389213b227fcf33c3603198f3e,44;40;44;44;44;44;44,44;44;44;44;44;44;40,96,576
17409,q7_edges_304.jsonl.part3,4166,ce28c78ea203ead19217aef7b6a2d3bc955614b2754a107f58410caa7a48d241,44;44;44;40;44;44;44,44;44;44;44;44;44;40,96,576
17431,q7_edges_304.jsonl.part3,4188,670ed3885bf2423c2a3d3c471cca73cea45c6b9c81b5e8f1be4a03b8e116b048,40;48;40;48;40;48;40,48;48;48;40;40;40;40,96,576
17454,q7_edges_304.jsonl.part3,4211,60ccad92febf7318023632637e9bdef6185ae728ced3e7bcc02e24b0eeb1ddb9,42;46;46;42;42;46;40,46;46;46;42;42;42;40,96,576
17533,q7_edges_304.jsonl.part3,4290,2b8e3c4272cafd753404444181a756fc48c639d3ce6288abf9962c272673a9b0,42;46;42;46;40;46;42,46;46;46;42;42;42;40,96,576
17565,q7_edges_304.jsonl.part3,4322,e698f6c622d90ece971505a9b442ef61b80dce851f03eb53bfe70566d43b4498,44;44;44;44;44;42;42,44;44;44;44;44;42;42,96,576
17581,q7_edges_304.jsonl.part3,4338,0946e64583e50e00526edce2f4c0eda464df51849627425843f59325ce731432,40;48;40;48;48;40;40,48;48;48;40;40;40;40,96,576
17591,q7_edges_304.jsonl.part3,4348,a738e0c9e5c702ff264d38aef91bdfe5eb7affa94402d98b62df16a6027d198d,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
17621,q7_edges_304.jsonl.part3,4378,3ea05c26ad006e7cd97c0303326633bf50c9650bcf912f285a337fa11fea0e57,44;44;44;40;44;44;44,44;44;44;44;44;44;40,96,576
17643,q7_edges_304.jsonl.part3,4400,ed77a1833a8d01ef3e5394daf0d7775b0649660ebf05037b282e74ab57524fd7,40;40;48;40;48;48;40,48;48;48;40;40;40;40,96,576
17650,q7_edges_304.jsonl.part3,4407,7a533ebf78bf6fb2023c14536f41733114e59ac32d431554f778698e2427f697,44;44;44;44;44;44;40,44;44;44;44;44;44;40,96,576
17702,q7_edges_304.jsonl.part3,4459,4b3b18d7bd5f96351397d3b3fed811fe4dc18242d4a4b1e05dfac01e29825ab6,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
17711,q7_edges_304.jsonl.part3,4468,271f31e83c2dccf11f140a7e2fb1f09ef2c1aa9a54d2974523e1fd4b675eade7,46;46;42;42;40;42;46,46;46;46;42;42;42;40,96,576
17730,q7_edges_304.jsonl.part3,4487,364599cd87a7449b62be3c063f2ed44c645aa7c23a2e9a8dd86008fb83c12edf,48;40;48;48;40;40;40,48;48;48;40;40;40;40,96,576
17744,q7_edges_304.jsonl.part3,4501,f174b4890b682d684958b7edc95454d11c831010974e55c92211e84ccb327496,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
17765,q7_edges_304.jsonl.part3,4522,b0b109651691e2e7105998e80d417c98c7f7bbe5b0aa0419ab4ecc99abe26123,46;46;40;42;42;46;42,46;46;46;42;42;42;40,96,576
17803,q7_edges_304.jsonl.part3,4560,3dfb4798ebe98dfb790855dc68528601fd80e18968892668b764647cec42923f,48;40;40;48;40;40;48,48;48;48;40;40;40;40,96,576
17828,q7_edges_304.jsonl.part3,4585,fd9785b461711fb0fa9fffef00f698414596722cf4ba1cf34503ddf87f7f9fc8,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
17955,q7_edges_304.jsonl.part3,4712,6f5e06196f969e1ee490261a75036af574b00e443c452e2114a8212771161e7a,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
18035,q7_edges_304.jsonl.part3,4792,0a37406253d5b226f1aa58a88b39100099f69b3ceff210549a41888e98253da8,44;44;40;44;44;44;44,44;44;44;44;44;44;40,96,576
18050,q7_edges_304.jsonl.part3,4807,819fef5ef12dea8f002defd7b8097ad7ec661d4761846859ba81c03b768a1f8f,42;44;44;42;44;44;44,44;44;44;44;44;42;42,96,576
18098,q7_edges_304.jsonl.part3,4855,bfca4b0d80580063d6b13136333c8a81f619460cdf116466a961336a753cd945,44;44;42;44;44;42;44,44;44;44;44;44;42;42,96,576
18108,q7_edges_304.jsonl.part3,4865,ec738899028679b6dcaf89712bb2e68df81f00ca196d96d45fb25802957bcbd4,48;40;40;40;40;48;48,48;48;48;40;40;40;40,96,576
18142,q7_edges_304.jsonl.part3,4899,6c3f370f8d49ee6f3f84973af7f97f89dcfa85ac6be0997bc807324275d8a178,40;44;44;44;44;44;44,44;44;44;44;44;44;40,96,576
18195,q7_edges_304.jsonl.part3,4952,102459db4dc1a9c7dec4a99803e03965186fc9c15d862c9e0ca60eb0180f9cf1,48;40;48;40;40;48;40,48;48;48;40;40;40;40,96,576
18213,q7_edges_304.jsonl.part3,4970,a9829603be29dbdcf26c2b2f45a3c6e7e8fe18f2dc33886e4e54c6246b122eb3,48;40;40;40;48;48;40,48;48;48;40;40;40;40,96,576
18250,q7_edges_304.jsonl.part3,5007,de546e0bec86eb80a2fddd8125aa5cdf0751ba0dcbd7b124cacfdf6a0d4fa044,44;44;44;42;42;44;44,44;44;44;44;44;42;42,96,576
18265,q7_edges_304.jsonl.part3,5022,5493a4a96ff06cd516c892386e76c1f3b2938c525c1d41a9b77c9c51577df6ab,46;46;40;42;42;42;46,46;46;46;42;42;42;40,96,576
18283,q7_edges_304.jsonl.part3,5040,bd03f799d7b89fbad655264875ac9dbd5ff2bcea9fb685d46385a23847bab796,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
18311,q7_edges_304.jsonl.part3,5068,610e6bd20b63da299bb1119f46fc9ae62f1483a4b4d571fb452dead5ff8331de,46;40;42;42;46;42;46,46;46;46;42;42;42;40,96,576
18318,q7_edges_304.jsonl.part3,5075,7114c64b3334382a08e709a2836b056a653d33ab31c8ef9d87048981f9e01d80,40;40;40;48;48;40;48,48;48;48;40;40;40;40,96,576
18332,q7_edges_304.jsonl.part3,5089,357d358f001821617bcba8a0410ce1caa80d147517f99a5b1cb8dc45142b2508,44;44;44;40;44;44;44,44;44;44;44;44;44;40,96,576
18351,q7_edges_304.jsonl.part3,5108,c412fef96269db0d2cc90c07bf49e79e181592b0f78130a23fff6dced52c4374,48;40;48;40;40;40;48,48;48;48;40;40;40;40,96,576
18495,q7_edges_304.jsonl.part3,5252,1baa2cc4b602440d1c7bf7b035aef4ff8b1ad341c6fd56744ff4a3a1c3f28586,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
18516,q7_edges_304.jsonl.part3,5273,96ec305de48de94db4a19f9ea024261df379d1d454874211f2b6cce4539dae58,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
18522,q7_edges_304.jsonl.part3,5279,6d932437f0bc79a3c5eed20f76ba3e2ba31fa7a81bd9b121cd9738991db45a79,46;42;40;46;46;42;42,46;46;46;42;42;42;40,96,576
18591,q7_edges_304.jsonl.part3,5348,f2287b9d421fd696ed59362e4cc613b809cd3da1d7317ffce0a006c37ad8ad21,42;44;44;44;42;44;44,44;44;44;44;44;42;42,96,576
18600,q7_edges_304.jsonl.part3,5357,e208556c052b7af022a12d62b0d45a7323c0baf7a9197841401a181971c23a83,44;44;44;44;42;44;42,44;44;44;44;44;42;42,96,576
18606,q7_edges_304.jsonl.part3,5363,0274f341976d0603b5bd9b240ad67a47b4e4c95d14aa2889e02633a69dec341b,44;44;44;44;42;42;44,44;44;44;44;44;42;42,96,576
18628,q7_edges_304.jsonl.part3,5385,64bdf533d8b8e57e1f0e95ea107e3015f50a10bceba08209377944f537d396b0,48;40;40;48;40;48;40,48;48;48;40;40;40;40,96,576
18710,q7_edges_304.jsonl.part3,5467,3f0dea4835c0bc504ab8ac81217f9a29f0c53ac5029c29683d52faac9e51bf36,44;44;42;44;44;44;42,44;44;44;44;44;42;42,96,576
18774,q7_edges_304.jsonl.part3,5531,73c1b6835c95988c852714f1fc0ff21701d988c1477f3f9ed87145ef2196476f,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
18824,q7_edges_304.jsonl.part3,5581,e139400622d54fa833de1f926d937e32f08e72ee5a984243c8e5c6ea661d78ba,48;48;40;40;40;48;40,48;48;48;40;40;40;40,96,576
18890,q7_edges_304.jsonl.part3,5647,b63f17299fdc71ed547bedd2053463ed1beb361abfaddfc5a8a38c9a25484f3f,48;40;40;40;48;40;48,48;48;48;40;40;40;40,96,576
18909,q7_edges_304.jsonl.part3,5666,436e0a65fb8a08a4406a0e30bd16cf0d960e4f53e83e24203e5e6a767eff9cb5,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
18945,q7_edges_304.jsonl.part3,5702,00f249def66cd5bb6302210b1a92bf0c0a19285fb466d051f531d43494809e85,44;44;44;44;44;44;40,44;44;44;44;44;44;40,96,576
18995,q7_edges_304.jsonl.part3,5752,475b2e0c0f5d082b3a29ce4ab45eac68f87b29fa4f0841cf912f4d41f12b0775,48;40;40;40;40;48;48,48;48;48;40;40;40;40,96,576
19076,q7_edges_304.jsonl.part3,5833,ce6ac6cec35bb88845bbfb2e90b45f18469045a01d4003e21a734446af2ac69a,40;48;40;48;40;40;48,48;48;48;40;40;40;40,96,576
19149,q7_edges_304.jsonl.part3,5906,a2e1bce6a553c537298aa3fc20d23ed4533aec09664347114b23909cbd2920a3,42;42;46;46;40;42;46,46;46;46;42;42;42;40,96,576
19178,q7_edges_304.jsonl.part3,5935,25a42b6dcf5f786c713de506858957833b23ba27c2d9fc325d78fde9649e99c6,44;40;44;44;44;44;44,44;44;44;44;44;44;40,96,576
19272,q7_edges_304.jsonl.part3,6029,2b2d06e199974e66efeb931edbfd0a9031739ba73ad2cc2f3111bad739655691,44;44;44;44;42;42;44,44;44;44;44;44;42;42,96,576
19292,q7_edges_304.jsonl.part3,6049,87eedf5034739aa76dcec1dd544986fe733a85feaa7f3bdd13c64592ca489d8d,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
