0,1
0,2
0,4
0,64
0,128
1,3
1,9
1,17
1,33
1,129
2,10
2,18
2,34
2,66
2,130
3,7
3,35
3,67
3,131
4,5
4,6
4,12
4,20
4,132
5,7
5,13
5,37
5,133
6,14
6,22
6,38
6,70
6,134
7,15
7,23
7,39
7,71
8,9
8,10
8,12
8,72
8,136
9,11
9,13
9,41
10,14
10,26
10,138
11,15
11,27
11,75
11,139
12,28
12,44
12,76
13,29
13,45
13,77
13,141
14,15
14,46
14,78
15,31
15,47
15,143
16,17
16,18
16,20
16,24
16,80
16,144
17,19
17,25
17,81
18,22
18,50
18,82
19,23
19,51
19,83
19,147
20,21
20,52
20,84
21,23
21,29
21,53
21,149
22,23
22,30
22,54
23,87
23,151
24,26
24,28
24,152
25,27
25,29
25,57
25,153
26,27
26,30
26,58
26,90
27,59
27,155
28,29
28,60
28,92
28,156
29,31
30,31
30,94
30,158
31,63
31,95
31,159
32,33
32,34
32,40
32,48
32,160
33,37
33,49
33,97
33,161
34,35
34,38
34,42
34,98
35,51
35,99
35,163
36,37
36,38
36,44
36,52
36,100
36,164
37,53
37,101
38,39
38,166
39,55
39,103
39,167
40,41
40,44
40,56
40,104
41,43
41,57
41,105
41,169
42,43
42,46
42,58
42,170
43,47
43,59
43,171
44,45
44,46
44,172
45,47
45,61
45,109
46,110
46,174
47,111
47,175
48,50
48,52
48,112
48,176
49,51
49,57
49,113
49,177
50,51
50,58
50,114
50,178
51,55
51,59
52,54
52,60
53,55
53,61
53,117
54,55
54,62
54,118
54,182
55,183
56,58
56,60
56,120
56,184
57,61
57,121
58,62
59,63
59,123
60,61
60,124
60,188
61,63
62,63
62,126
62,190
63,191
64,65
64,68
64,72
64,80
65,67
65,69
65,81
65,97
65,193
66,67
66,70
66,74
66,194
67,75
67,83
68,70
68,76
68,84
68,196
69,71
69,77
69,85
69,101
70,71
70,86
70,102
71,79
71,199
72,73
72,74
72,104
72,200
73,75
73,77
73,89
73,105
74,78
74,90
74,106
74,202
75,79
75,91
75,203
76,77
76,78
76,108
76,204
77,93
77,205
78,79
78,94
79,95
79,111
79,207
80,88
80,112
80,208
81,89
81,113
81,209
82,83
82,86
82,90
82,210
83,115
83,211
84,85
84,92
84,116
84,212
85,87
85,117
85,213
86,87
86,94
86,118
87,95
87,215
88,89
88,90
88,92
88,216
89,121
89,217
90,91
90,122
91,123
91,219
92,93
92,94
93,95
93,125
93,221
94,126
94,222
95,127
96,97
96,98
96,104
96,112
96,224
97,99
97,105
98,102
98,106
98,114
98,226
99,103
99,115
99,227
100,102
100,108
100,116
100,228
101,103
101,109
101,229
102,103
102,230
103,111
103,119
104,108
104,232
105,107
105,109
105,233
106,110
106,234
107,111
107,123
107,235
108,109
108,110
109,125
109,237
110,111
110,126
111,239
112,113
112,116
112,120
113,115
113,117
114,115
114,118
114,122
115,123
115,243
116,118
116,124
117,119
117,125
117,245
118,119
118,246
119,127
119,247
120,121
120,122
120,248
121,123
121,125
121,249
122,126
122,250
123,127
124,125
124,126
124,252
126,127
127,255
128,136
128,144
128,160
128,192
129,133
129,137
129,145
129,193
130,131
130,134
130,146
130,162
131,135
131,139
131,147
131,195
132,140
132,148
132,164
132,196
133,135
133,149
133,165
134,142
134,150
134,198
135,143
135,151
135,167
135,199
136,137
136,140
136,152
137,139
137,141
137,169
137,201
138,139
138,142
138,154
138,170
138,202
139,171
140,142
140,156
140,172
140,204
141,143
141,157
141,173
142,143
142,174
143,207
144,145
144,146
144,148
144,176
145,147
145,153
145,209
146,154
146,178
146,210
147,155
147,179
148,149
148,150
148,212
149,157
149,181
149,213
150,151
150,158
150,182
150,214
151,159
151,183
152,153
152,154
152,184
152,216
153,157
153,185
153,217
154,155
154,158
155,159
155,187
155,219
156,157
156,158
156,220
157,159
157,189
158,190
159,223
160,162
160,164
160,168
160,224
161,163
161,165
161,169
161,225
162,163
162,166
162,170
162,226
163,167
163,171
163,179
164,165
164,180
165,173
165,229
166,174
166,182
166,230
167,175
167,231
168,169
168,172
168,184
168,232
169,185
170,186
170,234
171,187
171,235
172,173
172,188
173,175
173,237
174,175
174,190
174,238
175,191
176,177
176,180
176,184
176,240
177,179
177,185
177,241
178,179
178,182
178,186
178,242
179,183
180,181
180,182
180,188
180,244
181,183
181,245
183,191
183,247
184,186
185,187
185,249
186,187
186,190
187,191
188,189
188,190
189,191
189,253
190,254
191,255
192,193
192,196
192,200
192,208
193,195
193,197
193,225
194,195
194,198
194,210
194,226
195,203
195,211
196,198
196,228
197,199
197,205
197,213
197,229
198,199
198,206
198,230
199,215
200,201
200,204
200,216
201,203
201,205
201,217
201,233
202,203
202,206
202,218
203,235
204,206
204,236
205,207
205,237
206,207
206,222
206,238
207,223
208,209
208,210
208,212
208,240
209,211
209,213
209,241
210,214
210,218
211,215
211,219
212,220
212,244
213,221
214,215
214,222
214,246
215,223
215,247
216,218
216,220
216,248
217,219
217,221
218,219
218,250
219,251
220,221
220,222
221,223
221,253
222,254
223,255
224,225
224,228
224,240
225,227
225,233
225,241
226,227
226,242
227,231
227,235
228,229
228,236
228,244
229,231
229,245
230,231
230,246
231,239
231,247
232,233
232,234
232,236
232,248
233,249
234,235
234,238
234,250
235,251
236,237
237,239
237,253
238,239
239,255
240,242
240,248
241,243
241,245
242,243
242,246
242,250
243,247
243,251
244,246
244,252
245,253
248,252
249,251
249,253
250,254
251,255
252,253
252,254
254,255
